YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 01 03 10 100 10.9 13.6 04.60 10.00 07.90 999 0970.7  03.3  03.2 999.0 99.0
87 01 03 11 115 08.3 10.3 04.60 10.00 08.00 999 0970.3  03.0  03.2 999.0 99.0
87 01 03 12 099 08.6 10.4 04.50 10.00 08.10 999 0968.9  03.3  03.2 999.0 99.0
87 01 03 13 104 08.9 10.6 04.10 10.00 07.80 999 0967.4  03.6  03.2 999.0 99.0
87 01 03 14 112 08.3 09.8 04.10 10.00 08.00 999 0966.5  03.6  03.2 999.0 99.0
87 01 03 15 119 07.8 10.0 04.20 09.10 08.00 999 0966.0  03.7  03.3 999.0 99.0
87 01 03 16 121 06.6 08.1 04.10 10.00 08.10 999 0965.3  03.5  03.3 999.0 99.0
87 01 03 17 114 04.4 05.5 04.10 09.10 08.10 999 0964.4  03.3  03.3 999.0 99.0
87 01 03 18 136 03.4 04.6 04.40 10.00 08.30 999 0963.8  03.1  03.3 999.0 99.0
87 01 03 19 144 01.6 02.6 04.50 10.00 08.40 999 0963.1  02.7  03.3 999.0 99.0
87 01 03 20 139 03.0 04.0 04.30 10.00 08.40 999 0962.7  02.6  03.2 999.0 99.0
87 01 03 21 156 04.6 05.8 04.10 10.00 08.60 999 0962.7  02.7  03.2 999.0 99.0
87 01 03 22 186 05.5 07.6 04.70 10.00 08.90 999 0962.3  02.5  03.3 999.0 99.0
87 01 03 23 195 05.6 07.3 04.40 11.10 09.00 999 0962.0  02.5  03.3 999.0 99.0
87 01 04 00 198 07.3 09.3 04.20 11.10 08.90 999 0961.4  02.5  03.3 999.0 99.0
87 01 04 01 203 06.5 08.7 04.00 10.00 08.90 999 0961.2  02.8  03.3 999.0 99.0
87 01 04 02 199 08.2 10.0 04.30 14.30 09.30 999 0960.8  02.8  03.3 999.0 99.0
87 01 04 03 206 08.4 10.7 04.40 14.30 09.40 999 0961.3  02.6  03.2 999.0 99.0
87 01 04 04 184 07.9 10.1 04.20 14.30 09.10 999 0961.7  02.7  03.2 999.0 99.0
87 01 04 05 193 07.3 09.9 04.00 11.10 08.90 999 0962.1  02.7  03.2 999.0 99.0
87 01 04 06 179 07.0 09.1 04.00 11.10 08.90 999 0962.4  02.8  03.2 999.0 99.0
87 01 04 07 182 07.2 09.3 04.30 11.10 09.10 999 0962.6  02.1  03.2 999.0 99.0
87 01 04 08 171 06.6 08.4 04.00 12.50 08.90 999 0963.0  02.4  03.2 999.0 99.0
87 01 04 09 178 06.6 08.3 04.90 12.50 09.50 999 0963.5  02.4  03.2 999.0 99.0
87 01 04 10 165 07.2 09.6 04.70 14.30 09.60 999 0963.8  02.4  03.2 999.0 99.0
87 01 04 11 183 03.7 05.0 04.70 14.30 09.50 999 0964.5  02.5  03.2 999.0 99.0
87 01 04 12 157 04.3 05.6 05.00 12.50 09.60 999 0964.7  02.5  03.2 999.0 99.0
87 01 04 13 149 05.0 06.5 04.80 12.50 09.60 999 0964.8  02.5  03.2 999.0 99.0
87 01 04 14 157 05.2 06.5 05.00 12.50 09.60 999 0965.2  02.5  03.2 999.0 99.0
87 01 04 15 175 06.0 07.5 04.60 14.30 09.50 999 0965.6  02.3  03.2 999.0 99.0
87 01 04 16 168 05.4 06.3 04.50 14.30 09.50 999 0966.0  02.3  03.2 999.0 99.0
87 01 04 17 162 05.7 06.8 04.60 12.50 09.70 999 0966.4  02.2  03.2 999.0 99.0
87 01 04 18 150 07.1 08.4 04.90 14.30 09.70 999 0966.7  02.3  03.2 999.0 99.0
87 01 04 19 154 06.9 08.0 05.00 12.50 10.10 999 0967.3  02.2  03.2 999.0 99.0
87 01 04 20 146 06.6 08.3 05.00 12.50 09.70 999 0967.9  02.3  03.2 999.0 99.0
87 01 04 21 116 06.8 08.3 04.40 12.50 09.30 999 0968.5  02.4  03.2 999.0 99.0
87 01 04 22 110 07.2 08.5 05.00 14.30 09.70 999 0969.1  02.2  03.2 999.0 99.0
87 01 04 23 151 06.9 07.9 04.40 12.50 09.00 999 0969.3  02.5  03.2 999.0 99.0
87 01 05 00 154 06.5 07.7 04.10 12.50 08.80 999 0969.7  02.3  03.2 999.0 99.0
87 01 05 01 154 05.3 06.3 03.90 14.30 08.70 999 0969.9  02.6  03.2 999.0 99.0
87 01 05 02 148 05.1 05.8 04.20 12.50 08.80 999 0970.4  02.3  03.2 999.0 99.0
87 01 05 03 150 03.9 04.7 04.30 12.50 08.70 999 0970.9  02.2  03.2 999.0 99.0
87 01 05 04 149 03.6 04.2 03.80 12.50 08.60 999 0971.1  02.1  03.2 999.0 99.0
87 01 05 05 116 04.0 05.3 03.50 11.10 08.40 999 0971.6  02.1  03.2 999.0 99.0
87 01 05 06 118 04.7 05.9 03.80 11.10 08.90 999 0972.3  02.0  03.2 999.0 99.0
87 01 05 07 121 04.7 06.1 03.70 11.10 08.60 999 0972.9  02.1  03.2 999.0 99.0
87 01 05 08 086 04.8 06.1 03.90 11.10 08.70 999 0973.5  02.0  03.1 999.0 99.0
87 01 05 09 075 05.4 06.6 04.00 11.10 08.80 999 0973.9  02.0  03.1 999.0 99.0
87 01 05 10 060 04.8 06.1 04.10 11.10 08.60 999 0974.5  02.2  03.2 999.0 99.0
87 01 05 11 028 05.6 07.1 03.70 11.10 08.40 999 0975.0  01.6  03.1 999.0 99.0
87 01 05 12 040 06.2 08.1 03.80 11.10 08.40 999 0975.3  02.0  03.2 999.0 99.0
87 01 05 13 032 04.8 06.5 03.80 11.10 08.20 999 0975.8  01.9  03.2 999.0 99.0
87 01 05 14 041 04.8 06.7 03.70 11.10 08.20 999 0976.1  02.1  03.1 999.0 99.0
87 01 05 15 052 05.6 07.1 03.50 11.10 08.00 999 0976.5  02.3  03.2 999.0 99.0
87 01 05 16 137 04.9 06.8 03.70 10.00 08.10 999 0977.1  01.2  03.2 999.0 99.0
87 01 05 17 016 07.9 10.2 03.70 11.10 07.90 999 0977.3  01.1  03.2 999.0 99.0
87 01 05 18 032 11.6 14.9 04.10 11.10 08.00 999 0977.6  00.8  03.2 999.0 99.0
87 01 05 19 032 12.3 16.0 04.00 11.10 07.70 999 0978.3  00.7  03.2 999.0 99.0
87 01 05 20 031 12.2 15.2 04.70 10.00 08.00 999 0979.3  00.7  03.2 999.0 99.0
87 01 05 21 028 12.2 15.5 04.50 11.10 07.80 999 0979.9  00.5  03.1 999.0 99.0
87 01 05 22 017 12.1 16.0 04.70 11.10 07.90 999 0980.3  00.1  03.1 999.0 99.0
87 01 05 23 009 12.6 16.5 04.10 10.00 07.30 999 0980.4  00.0  03.1 999.0 99.0
87 01 06 00 358 12.7 16.4 04.40 10.00 07.80 999 0980.6 -00.4  03.1 999.0 99.0
87 01 06 01 355 13.5 17.5 04.80 11.10 07.70 999 0980.2  00.2  03.1 999.0 99.0
87 01 06 02 357 13.9 18.0 05.20 10.00 07.90 999 0980.7 -00.1  03.2 999.0 99.0
87 01 06 03 011 13.3 17.5 05.30 11.10 08.10 999 0981.4  00.1  03.2 999.0 99.0
87 01 06 04 011 12.8 16.9 04.80 11.10 07.80 999 0982.5 -00.1  03.2 999.0 99.0
87 01 06 05 016 12.9 17.4 04.30 10.00 07.80 999 0983.2 -00.2  03.2 999.0 99.0
87 01 06 06 019 13.1 17.3 05.40 11.10 08.30 999 0984.0 -00.6  03.2 999.0 99.0
87 01 06 07 016 13.3 17.3 05.00 11.10 08.10 999 0985.2 -01.3  03.2 999.0 99.0
87 01 06 08 017 13.7 17.8 04.90 11.10 08.20 999 0985.9 -01.8  03.2 999.0 99.0
87 01 06 09 019 13.2 17.5 05.50 11.10 08.50 999 0986.8 -01.6  03.2 999.0 99.0
87 01 06 10 026 12.7 15.8 05.30 11.10 08.40 999 0987.8 -01.7  03.2 999.0 99.0
87 01 06 11 029 13.3 17.4 05.20 12.50 08.20 999 0988.6 -03.0  03.1 999.0 99.0
87 01 06 12 018 13.5 17.8 04.90 11.10 07.90 999 0989.2 -02.4  03.1 999.0 99.0
87 01 06 13 001 13.0 17.1 05.00 11.10 07.70 999 0990.2 -02.9  03.2 999.0 99.0
87 01 06 14 003 12.7 15.6 05.60 11.10 08.30 999 0991.0 -03.1  03.1 999.0 99.0
87 01 06 15 004 12.0 15.9 04.30 11.10 07.60 999 0991.8 -03.5  03.1 999.0 99.0
87 01 06 16 358 11.1 14.0 04.40 10.00 07.50 999 0992.6 -03.5  03.1 999.0 99.0
87 01 06 17 003 11.7 15.2 04.50 11.10 07.80 999 0992.9 -04.0  03.1 999.0 99.0
87 01 06 18 010 12.1 15.8 04.50 11.10 07.90 999 0993.7 -04.4  03.1 999.0 99.0
87 01 06 19 006 11.2 15.5 03.90 11.10 07.20 999 0994.7 -04.6  03.1 999.0 99.0
87 01 06 20 021 09.4 14.7 04.00 10.00 07.50 999 0995.7 -05.0  03.1 999.0 99.0
87 01 06 21 013 10.1 14.0 03.70 10.00 07.20 999 0996.3 -05.2  03.1 999.0 99.0
87 01 06 22 020 08.9 12.7 03.90 10.00 07.70 999 0996.9 -05.4  03.0 999.0 99.0
87 01 06 23 347 07.2 10.4 03.50 10.00 07.30 999 0997.4 -05.5  03.0 999.0 99.0
87 01 07 00 337 08.7 13.4 03.80 10.00 07.60 999 0997.3 -05.8  03.0 999.0 99.0
87 01 07 01 017 08.5 11.9 03.80 10.00 07.80 999 0997.6 -05.5  03.0 999.0 99.0
87 01 07 02 006 10.1 13.2 03.40 10.00 07.20 999 0997.8 -05.6  03.0 999.0 99.0
87 01 07 03 022 08.9 12.8 03.20 10.00 07.10 999 0998.8 -06.6  03.0 999.0 99.0
87 01 07 04 008 09.2 12.2 03.70 10.00 07.30 999 0999.4 -05.7  03.0 999.0 99.0
87 01 07 05 019 07.7 11.8 03.20 10.00 06.90 999 1000.3 -05.9  03.0 999.0 99.0
87 01 07 06 021 08.9 12.3 03.30 10.00 07.10 999 1000.6 -06.1  03.0 999.0 99.0
87 01 07 07 351 09.0 12.0 03.20 10.00 07.50 999 1001.3 -05.8  03.0 999.0 99.0
87 01 07 08 016 08.7 12.2 03.10 10.00 07.30 999 1001.8 -06.2  03.0 999.0 99.0
87 01 07 09 026 07.1 09.9 03.00 10.00 07.20 999 1002.4 -06.2  03.0 999.0 99.0
87 01 07 10 033 06.7 10.3 03.10 09.10 07.30 999 1002.9 -06.0  03.0 999.0 99.0
87 01 07 11 029 06.2 08.7 02.90 09.10 07.20 999 1003.3 -06.1  03.0 999.0 99.0
87 01 07 12 010 06.6 09.1 02.60 09.10 07.20 999 1003.6 -05.8  03.0 999.0 99.0
87 01 07 13 010 06.6 08.6 03.00 09.10 07.50 999 1003.8 -05.9  03.0 999.0 99.0
87 01 07 14 030 06.2 08.6 02.50 09.10 06.90 999 1004.1 -05.8  03.0 999.0 99.0
87 01 07 15 022 06.5 09.1 02.50 09.10 06.90 999 1004.1 -06.2  03.0 999.0 99.0
87 01 07 16 035 07.1 09.1 02.40 09.10 06.80 999 1004.4 -06.3  02.9 999.0 99.0
87 01 07 17 034 05.8 09.4 02.30 09.10 06.70 999 1004.8 -05.8  02.9 999.0 99.0
87 01 07 18 028 07.1 09.2 02.40 09.10 06.70 999 1005.1 -05.6  02.9 999.0 99.0
87 01 07 19 036 06.8 09.4 02.30 09.10 06.80 999 1005.2 -05.7  02.9 999.0 99.0
87 01 07 20 010 06.1 08.8 02.20 08.30 06.70 999 1005.8 -05.7  02.9 999.0 99.0
87 01 07 21 007 06.3 08.9 02.10 08.30 06.50 999 1006.0 -05.6  03.0 999.0 99.0
87 01 07 22 005 06.6 09.1 01.90 08.30 06.40 999 1006.3 -05.9  03.0 999.0 99.0
87 01 07 23 005 08.1 10.6 01.90 08.30 06.50 999 1005.9 -05.8  03.0 999.0 99.0
87 01 08 00 002 05.4 09.5 01.80 08.30 06.20 999 1006.2 -05.6  03.0 999.0 99.0
87 01 08 01 043 05.3 08.0 01.90 07.70 06.30 999 1006.1 -05.5  03.0 999.0 99.0
87 01 08 02 017 06.7 09.3 01.80 07.70 06.10 999 1005.8 -05.7  03.0 999.0 99.0
87 01 08 03 019 07.0 09.7 01.70 12.50 06.50 999 1005.7 -05.5  03.0 999.0 99.0
87 01 08 04 053 05.0 07.6 01.70 07.70 06.10 999 1006.0 -05.4  03.0 999.0 99.0
87 01 08 05 030 05.3 08.1 01.80 07.10 06.10 999 1006.0 -05.4  03.0 999.0 99.0
87 01 08 06 010 06.5 08.6 01.60 07.70 05.80 999 1005.8 -05.3  03.0 999.0 99.0
87 01 08 07 008 07.0 09.3 01.60 07.70 05.70 999 1005.8 -05.2  02.9 999.0 99.0
87 01 08 08 008 06.4 08.8 01.60 07.70 05.50 999 1005.6 -05.5  02.9 999.0 99.0
87 01 08 09 003 05.6 08.8 01.40 07.10 05.40 999 1005.4 -05.6  03.0 999.0 99.0
87 01 08 10 019 06.8 08.8 01.40 06.70 05.30 999 1004.9 -05.5  02.9 999.0 99.0
87 01 08 11 003 04.3 07.2 01.30 06.70 05.30 999 1004.8 -05.7  02.9 999.0 99.0
87 01 08 12 001 03.4 05.5 01.30 06.70 05.80 999 1004.4 -05.7  02.9 999.0 99.0
87 01 08 13 000 02.3 05.0 01.30 06.30 05.80 999 1004.1 -05.8  02.9 999.0 99.0
87 01 08 14 041 00.3 01.8 01.30 06.30 05.80 999 1003.8 -05.8  02.9 999.0 99.0
87 01 08 15 178 01.3 03.5 01.40 06.70 06.10 999 1003.2 -05.6  02.9 999.0 99.0
87 01 08 16 181 04.0 05.8 01.30 06.70 06.10 999 1002.4 -05.4  02.8 999.0 99.0
87 01 08 17 296 00.2 01.0 01.20 06.70 06.10 999 1002.1 -06.2  02.9 999.0 99.0
87 01 08 18 290 01.3 02.7 01.20 06.30 06.00 999 1001.2 -06.0  02.9 999.0 99.0
87 01 08 19 316 00.5 01.9 01.20 07.10 06.10 999 1001.1 -05.7  02.9 999.0 99.0
87 01 08 20 007 00.1 01.2 01.30 06.70 05.90 999 1000.9 -05.5  02.9 999.0 99.0
87 01 08 21 325 04.0 05.9 01.70 07.10 06.20 999 1000.7 -04.9  02.9 999.0 99.0
87 01 08 22 030 08.1 10.8 01.90 07.70 06.30 999 1000.4 -05.4  02.9 999.0 99.0
87 01 08 23 017 09.5 12.7 01.90 07.70 06.20 999 1000.9 -06.2  02.9 999.0 99.0
87 01 09 00 010 06.8 09.6 02.10 08.30 06.00 999 1001.1 -05.2  02.9 999.0 99.0
87 01 09 01 324 06.3 09.2 02.00 08.30 06.10 999 1001.2 -05.2  02.9 999.0 99.0
87 01 09 02 297 07.1 09.2 02.20 08.30 06.30 999 1001.1 -05.1  02.9 999.0 99.0
87 01 09 03 287 06.2 08.9 02.10 07.70 06.30 999 1000.9 -04.8  02.9 999.0 99.0
87 01 09 04 287 08.4 11.7 02.00 06.70 05.90 999 1000.1 -04.4  03.0 999.0 99.0
87 01 09 05 312 08.6 11.7 02.00 06.30 05.80 999 1000.0 -04.2  03.0 999.0 99.0
87 01 09 06 302 10.4 14.4 02.00 09.10 05.60 999 0999.6 -03.7  03.0 999.0 99.0
87 01 09 07 308 10.1 12.8 02.10 05.60 05.40 999 0999.6 -03.9  03.0 999.0 99.0
87 01 09 08 314 08.2 10.7 02.00 06.30 05.50 999 0999.5 -04.5  03.0 999.0 99.0
87 01 09 09 310 07.2 09.9 02.00 06.30 05.50 999 0999.2 -04.2  03.0 999.0 99.0
87 01 09 10 324 07.6 09.9 01.90 05.90 05.50 999 0998.7 -04.0  03.0 999.0 99.0
87 01 09 11 339 07.3 10.0 01.80 06.30 05.40 999 0998.1 -04.1  02.9 999.0 99.0
87 01 09 12 336 07.4 10.8 01.90 06.70 05.40 999 0997.9 -04.2  03.0 999.0 99.0
87 01 09 13 333 09.4 11.9 01.80 06.30 05.20 999 0997.7 -04.2  03.0 999.0 99.0
87 01 09 14 307 08.3 11.9 01.80 06.30 05.40 999 0997.7 -04.3  03.0 999.0 99.0
87 01 09 15 293 09.0 11.7 01.80 06.70 05.30 999 0997.9 -04.3  03.0 999.0 99.0
87 01 09 16 298 10.3 14.2 01.80 06.30 05.20 999 0997.8 -05.3  02.9 999.0 99.0
87 01 09 17 313 10.3 13.5 01.90 06.70 05.40 999 0998.1 -05.1  02.9 999.0 99.0
87 01 09 18 308 09.3 13.1 02.00 06.70 05.50 999 0998.3 -04.8  02.9 999.0 99.0
87 01 09 19 331 08.3 10.5 01.90 06.70 05.60 999 0998.7 -05.9  02.9 999.0 99.0
87 01 09 20 331 07.2 10.5 02.30 07.70 06.20 999 0999.3 -06.4  02.9 999.0 99.0
87 01 09 21 339 08.0 12.0 02.70 07.70 06.20 999 0999.2 -05.3  02.9 999.0 99.0
87 01 09 22 316 07.7 12.5 02.60 07.70 06.20 999 0999.7 -06.1  02.9 999.0 99.0
87 01 09 23 319 09.0 11.7 02.80 07.70 06.60 999 0999.4 -05.8  02.9 999.0 99.0
87 01 10 00 316 09.0 11.6 02.80 07.10 06.30 999 0999.7 -05.6  02.9 999.0 99.0
87 01 10 01 322 10.7 14.2 03.20 08.30 06.70 999 1000.0 -06.9  02.9 999.0 99.0
87 01 10 02 324 06.9 09.3 02.80 09.10 06.20 999 1000.6 -06.4  02.9 999.0 99.0
87 01 10 03 315 09.3 13.3 02.60 08.30 06.10 999 1000.9 -06.1  02.9 999.0 99.0
87 01 10 04 326 08.0 10.8 02.60 08.30 06.10 999 1001.8 -06.8  02.9 999.0 99.0
87 01 10 05 315 09.2 12.0 02.80 08.30 06.20 999 1002.0 -06.4  02.9 999.0 99.0
87 01 10 06 308 10.3 13.8 02.60 08.30 06.10 999 1002.6 -06.4  02.9 999.0 99.0
87 01 10 07 316 08.6 12.8 02.60 07.70 06.20 999 1003.4 -06.8  02.9 999.0 99.0
87 01 10 08 323 09.3 13.0 02.40 08.30 06.20 999 1004.0 -06.8  02.9 999.0 99.0
87 01 10 09 323 06.7 10.1 02.30 08.30 06.20 999 1004.8 -07.0  02.9 999.0 99.0
87 01 10 10 337 06.5 09.9 02.00 07.70 06.00 999 1005.6 -07.2  02.8 999.0 99.0
87 01 10 11 324 05.1 07.9 01.90 07.70 06.00 999 1006.1 -06.9  02.9 999.0 99.0
87 01 10 12 351 05.0 07.5 01.80 07.10 05.80 999 1006.4 -06.6  02.8 999.0 99.0
87 01 10 13 005 02.1 04.0 01.90 07.10 06.00 999 1006.8 -06.5  02.8 999.0 99.0
87 01 10 14 008 03.2 05.8 01.70 07.10 05.90 999 1006.9 -06.4  02.8 999.0 99.0
87 01 10 15 344 02.7 04.4 01.80 07.70 06.00 999 1007.0 -06.4  02.8 999.0 99.0
87 01 10 16 019 02.4 04.0 01.60 07.10 06.10 999 1006.9 -06.2  02.8 999.0 99.0
87 01 10 17 007 00.9 02.2 01.70 07.10 06.10 999 1006.9 -06.3  02.8 999.0 99.0
87 01 10 18 108 04.5 06.1 01.50 07.70 06.10 999 1006.5 -05.9  02.8 999.0 99.0
87 01 10 19 117 03.4 07.3 01.40 07.10 06.00 999 1006.5 -05.8  02.8 999.0 99.0
87 01 10 20 086 05.6 08.8 01.30 07.10 06.10 999 1006.2 -05.3  02.8 999.0 99.0
87 01 10 21 108 07.5 09.9 01.30 07.10 05.90 999 1005.6 -04.9  02.8 999.0 99.0
87 01 10 22 106 07.8 10.2 01.10 06.70 05.50 999 1005.6 -04.8  02.8 999.0 99.0
87 01 10 23 114 08.4 11.1 01.20 07.10 05.00 999 1004.8 -04.3  02.8 999.0 99.0
87 01 11 00 117 09.7 13.9 01.30 06.70 04.70 999 1004.1 -03.6  02.8 999.0 99.0
87 01 11 01 116 10.9 14.2 01.40 04.50 04.80 999 1003.1 -03.3  02.8 999.0 99.0
87 01 11 02 114 11.6 14.3 01.50 05.30 04.90 999 1001.5 -02.7  02.9 999.0 99.0
87 01 11 03 113 12.8 16.3 01.90 05.60 05.10 999 1000.5 -02.3  02.9 999.0 99.0
87 01 11 04 110 14.4 17.6 02.40 06.30 05.60 999 0999.3 -01.6  02.9 999.0 99.0
87 01 11 05 112 15.4 18.8 02.50 06.70 05.90 999 0997.9 -01.6  02.9 999.0 99.0
87 01 11 06 105 15.6 19.0 03.00 07.70 06.20 999 0996.8 -01.6  02.9 999.0 99.0
87 01 11 07 110 16.4 20.4 03.80 08.30 06.70 999 0995.5 -00.8  02.9 999.0 99.0
87 01 11 08 114 16.5 20.9 03.70 08.30 06.70 999 0994.0 -00.2  02.9 999.0 99.0
87 01 11 09 114 15.6 21.0 04.30 08.30 07.10 999 0993.4  00.5  02.8 999.0 99.0
87 01 11 10 113 16.3 20.2 04.40 09.10 07.10 999 0992.3  00.6  02.8 999.0 99.0
87 01 11 11 118 13.3 16.6 04.70 09.10 07.40 999 0991.6  01.5  02.8 999.0 99.0
87 01 11 12 121 08.7 10.6 04.80 10.00 07.60 999 0991.0  02.0  02.8 999.0 99.0
87 01 11 13 132 07.1 08.8 04.30 10.00 07.80 999 0990.5  02.6  02.8 999.0 99.0
87 01 11 14 137 08.2 10.1 03.30 09.10 07.20 999 0989.4  02.2  02.9 999.0 99.0
87 01 11 15 131 07.4 08.8 03.30 10.00 07.60 999 0988.1  02.8  02.9 999.0 99.0
87 01 11 16 122 08.3 10.3 03.40 09.10 07.70 999 0986.6  02.5  02.9 999.0 99.0
87 01 11 17 123 09.9 12.5 03.00 09.10 07.40 999 0985.0  02.0  02.9 999.0 99.0
87 01 11 18 116 10.4 12.6 03.00 09.10 07.20 999 0983.4  02.6  02.9 999.0 99.0
87 01 11 19 108 11.3 14.4 03.40 09.10 07.40 999 0981.6  01.9  02.8 999.0 99.0
87 01 11 20 113 12.5 15.2 03.50 08.30 06.90 999 0980.0  02.3  02.8 999.0 99.0
87 01 11 21 114 11.6 14.1 03.90 08.30 07.40 999 0978.8  02.6  02.8 999.0 99.0
