YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 01 01 00 352 10.2 13.7 04.00 09.10 07.50 999 0992.1 -01.7  03.3 999.0 99.0
87 01 01 01 353 09.7 12.7 03.90 09.10 07.60 999 0992.2 -02.2  03.3 999.0 99.0
87 01 01 02 359 08.4 11.5 03.80 10.00 07.60 999 0992.1 -00.7  03.3 999.0 99.0
87 01 01 03 353 09.8 12.5 04.10 10.00 07.70 999 0992.2 -00.8  03.3 999.0 99.0
87 01 01 04 359 09.1 13.1 03.80 09.10 07.30 999 0992.7 -01.7  03.3 999.0 99.0
87 01 01 05 025 11.0 14.6 03.80 10.00 07.50 999 0992.9 -01.5  03.3 999.0 99.0
87 01 01 06 002 10.5 13.4 03.60 10.00 07.00 999 0993.2 -01.2  03.3 999.0 99.0
87 01 01 07 003 10.5 13.2 03.60 10.00 07.20 999 0993.7 -01.5  03.3 999.0 99.0
87 01 01 08 001 09.8 12.7 03.40 10.00 06.90 999 0994.0 -01.5  03.2 999.0 99.0
87 01 01 09 353 08.7 11.2 03.30 10.00 06.70 999 0994.4 -02.6  03.3 999.0 99.0
87 01 01 10 340 11.1 14.2 03.90 10.00 07.30 999 0994.7 -02.2  03.3 999.0 99.0
87 01 01 11 334 08.8 11.4 04.10 10.00 07.50 999 0995.6 -03.7  03.2 999.0 99.0
87 01 01 12 338 09.4 14.0 03.70 10.00 07.40 999 0995.7 -04.7  03.2 999.0 99.0
87 01 01 13 336 09.5 12.8 03.50 09.10 07.30 999 0995.8 -03.9  03.2 999.0 99.0
87 01 01 14 339 08.8 11.7 03.40 10.00 07.20 999 0996.1 -04.1  03.2 999.0 99.0
87 01 01 15 335 08.5 11.2 03.90 10.00 07.80 999 0996.4 -04.1  03.2 999.0 99.0
87 01 01 16 356 09.3 11.9 03.50 10.00 07.50 999 0996.4 -04.2  03.2 999.0 99.0
87 01 01 17 342 07.9 11.8 03.30 09.10 07.30 999 0996.7 -04.3  03.2 999.0 99.0
87 01 01 18 351 09.2 12.2 03.60 10.00 07.50 999 0997.2 -04.4  03.2 999.0 99.0
87 01 01 19 344 08.9 12.0 03.10 09.10 07.00 999 0997.5 -04.9  03.2 999.0 99.0
87 01 01 20 344 07.9 11.5 03.20 09.10 06.90 999 0998.0 -04.7  03.2 999.0 99.0
87 01 01 21 339 08.7 11.8 02.80 09.10 06.60 999 0998.3 -04.5  03.2 999.0 99.0
87 01 01 22 330 08.4 10.9 02.70 09.10 06.70 999 0999.1 -04.8  03.2 999.0 99.0
87 01 01 23 333 07.8 10.5 02.70 09.10 06.80 999 0999.0 -05.0  03.2 999.0 99.0
87 01 02 00 314 09.8 12.0 02.70 10.00 06.80 999 0999.0 -05.0  03.2 999.0 99.0
87 01 02 01 312 07.8 10.9 02.80 10.00 07.00 999 0999.2 -05.0  03.2 999.0 99.0
87 01 02 02 317 07.8 10.1 02.80 09.10 07.20 999 0999.3 -05.2  03.2 999.0 99.0
87 01 02 03 304 08.0 10.7 03.00 10.00 07.20 999 0999.7 -05.3  03.2 999.0 99.0
87 01 02 05 312 07.9 11.0 02.80 10.00 07.00 999 0999.7 -05.5  03.2 999.0 99.0
87 01 02 06 335 05.4 08.2 02.90 09.10 07.10 999 0999.9 -06.0  03.2 999.0 99.0
87 01 02 07 333 06.1 08.8 02.60 10.00 06.70 999 1000.6 -05.9  03.2 999.0 99.0
87 01 02 08 305 06.2 07.8 02.50 09.10 06.70 999 1000.6 -05.9  03.1 999.0 99.0
87 01 02 09 322 04.6 07.9 02.40 09.10 06.70 999 1000.6 -05.9  03.1 999.0 99.0
87 01 02 10 338 05.5 07.6 02.20 09.10 06.60 999 1000.3 -06.0  03.1 999.0 99.0
87 01 02 11 334 04.3 05.9 02.20 08.30 06.80 999 1000.5 -06.2  03.1 999.0 99.0
87 01 02 12 002 02.3 05.0 02.20 07.70 06.90 999 1000.3 -06.2  03.1 999.0 99.0
87 01 02 16 056 04.9 07.3 02.10 09.10 07.10 999 0997.3 -05.4  03.2 999.0 99.0
87 01 02 17 063 06.1 08.6 02.00 09.10 07.20 999 0996.1 -05.0  03.1 999.0 99.0
87 01 02 18 085 06.9 08.9 01.90 09.10 06.70 999 0995.8 -04.4  03.1 999.0 99.0
87 01 02 19 090 07.8 09.9 01.90 09.10 06.50 999 0995.1 -03.7  03.1 999.0 99.0
87 01 02 20 078 09.5 13.1 02.00 09.10 06.40 999 0994.1 -03.1  03.1 999.0 99.0
87 01 02 21 075 10.2 12.7 02.00 09.10 06.10 999 0992.7 -02.5  03.1 999.0 99.0
87 01 02 22 082 11.9 15.6 01.90 09.10 05.50 999 0991.8 -01.8  03.2 999.0 99.0
87 01 02 23 067 13.3 16.8 02.20 05.00 05.40 999 0989.9 -01.8  03.2 999.0 99.0
87 01 03 00 066 14.5 19.8 02.40 05.60 05.20 999 0987.4 -01.2  03.2 999.0 99.0
87 01 03 01 067 16.4 19.9 02.80 05.90 05.50 999 0985.7 -00.5  03.2 999.0 99.0
87 01 03 02 058 15.1 21.7 03.20 07.10 05.90 999 0983.8  00.2  03.2 999.0 99.0
87 01 03 03 056 16.3 23.4 04.00 07.70 06.30 999 0981.2  00.7  03.2 999.0 99.0
87 01 03 04 070 15.9 22.4 04.00 08.30 06.60 999 0980.0  01.0  03.3 999.0 99.0
87 01 03 05 074 16.3 22.0 04.80 08.30 07.10 999 0978.3  01.4  03.3 999.0 99.0
87 01 03 06 078 14.9 20.3 05.50 09.10 07.50 999 0976.7  01.8  03.3 999.0 99.0
87 01 03 07 083 13.7 18.7 05.40 09.10 07.60 999 0975.3  01.8  03.2 999.0 99.0
87 01 03 08 087 11.0 14.4 05.00 10.00 07.60 999 0974.0  02.9  03.2 999.0 99.0
87 01 03 09 087 09.2 12.2 04.70 09.10 07.60 999 0972.3  03.4  03.2 999.0 99.0
