YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
85 09 16 03 038 00.3 01.0 02.20 09.10 07.20 999 1023.2  06.7 999.0 999.0 99.0
85 09 16 04 049 00.8 02.3 02.00 09.10 07.00 999 1023.4  06.7 999.0 999.0 99.0
85 09 16 05 078 01.2 02.3 01.80 09.10 06.80 999 1023.6  06.7 999.0 999.0 99.0
85 09 16 06 097 01.4 02.5 02.00 09.10 07.00 999 1023.7  06.8 999.0 999.0 99.0
85 09 16 07 091 02.3 03.7 01.70 08.30 06.60 999 1024.0  06.6 999.0 999.0 99.0
85 09 16 10 144 03.5 04.3 01.60 08.30 06.70 999 1024.3  07.4 999.0 999.0 99.0
85 09 16 11 156 03.1 03.7 01.60 08.30 06.80 999 1024.5  07.4 999.0 999.0 99.0
85 09 16 12 166 03.1 03.8 01.50 09.10 06.90 999 1024.5  07.5 999.0 999.0 99.0
85 09 16 13 185 01.9 02.6 01.40 09.10 06.70 999 1024.6  07.4 999.0 999.0 99.0
85 09 16 14 192 01.9 02.7 01.40 09.10 06.80 999 1024.6  07.2 999.0 999.0 99.0
85 09 16 15 181 00.3 00.9 01.50 08.30 07.00 999 1024.4  07.2 999.0 999.0 99.0
85 09 16 16 239 01.1 01.9 01.30 08.30 06.60 999 1024.3  07.5 999.0 999.0 99.0
85 09 16 17 237 00.5 01.3 01.30 07.70 06.60 999 1024.3  07.5 999.0 999.0 99.0
85 09 16 18 296 02.7 04.4 01.30 08.30 06.80 999 1024.6  07.3 999.0 999.0 99.0
85 09 16 19 274 02.6 03.5 01.30 08.30 06.70 999 1025.0  07.4 999.0 999.0 99.0
85 09 16 20 284 03.2 03.8 01.30 09.10 06.90 999 1025.2  07.3 999.0 999.0 99.0
85 09 16 21 278 03.6 04.4 01.20 08.30 06.60 999 1026.1  07.5 999.0 999.0 99.0
85 09 16 22 271 04.3 05.0 01.20 09.10 06.90 999 1026.5  07.6 999.0 999.0 99.0
85 09 16 23 274 04.0 05.0 01.10 09.10 06.90 999 1026.5  07.7 999.0 999.0 99.0
85 09 17 00 279 03.6 04.5 01.10 08.30 06.60 999 1026.6  07.8 999.0 999.0 99.0
85 09 17 01 281 03.5 04.7 01.10 09.10 06.70 999 1026.4  07.7 999.0 999.0 99.0
85 09 17 02 278 04.4 05.4 01.00 09.10 06.40 999 1026.5  07.6 999.0 999.0 99.0
85 09 17 03 302 03.7 04.8 00.90 09.10 06.20 999 1026.2  07.8 999.0 999.0 99.0
85 09 17 04 300 02.9 03.8 00.90 09.10 06.00 999 1026.2  07.8 999.0 999.0 99.0
85 09 17 05 294 01.9 02.7 00.90 07.70 06.30 999 1025.8  07.8 999.0 999.0 99.0
85 09 17 06 289 00.2 01.0 00.90 10.00 06.30 999 1025.7  07.7 999.0 999.0 99.0
85 09 17 07 295 00.9 02.4 00.90 10.00 06.40 999 1025.4  07.4 999.0 999.0 99.0
85 09 17 08 248 01.1 01.6 00.90 09.10 06.10 999 1025.4  07.6 999.0 999.0 99.0
85 09 17 10 220 00.9 01.9 00.90 09.10 06.50 999 1024.8  07.5 999.0 999.0 99.0
85 09 17 11 185 01.1 01.8 00.80 09.10 06.20 999 1024.3  07.3 999.0 999.0 99.0
85 09 17 12 316 00.6 01.3 00.80 09.10 06.20 999 1024.1  07.2 999.0 999.0 99.0
85 09 17 13 143 02.0 03.0 00.70 09.10 06.20 999 1023.5  06.9 999.0 999.0 99.0
85 09 17 14 077 00.9 01.6 00.80 10.00 06.60 999 1022.9  06.7 999.0 999.0 99.0
85 09 17 15 181 00.1 00.6 00.80 09.10 06.40 999 1022.4  06.7 999.0 999.0 99.0
85 09 17 16 001 00.0 00.1 00.80 08.30 06.30 999 1022.0  06.7 999.0 999.0 99.0
85 09 17 17 068 00.5 01.4 00.80 10.00 06.10 999 1021.3  06.6 999.0 999.0 99.0
85 09 17 18 348 02.3 03.1 00.80 10.00 06.70 999 1020.9  06.6 999.0 999.0 99.0
85 09 17 19 014 03.9 05.5 00.70 10.00 06.30 999 1022.2  07.1 999.0 999.0 99.0
85 09 17 20 029 04.4 05.5 00.70 10.00 06.10 999 1021.7  07.1 999.0 999.0 99.0
85 09 17 21 007 05.9 07.4 00.80 10.00 06.10 999 1021.2  06.8 999.0 999.0 99.0
85 09 17 22 034 04.6 05.8 00.70 09.10 05.40 999 1020.8  06.8 999.0 999.0 99.0
85 09 17 23 009 05.8 07.2 00.80 09.10 05.50 999 1020.2  07.1 999.0 999.0 99.0
85 09 18 00 352 05.6 07.6 00.80 10.00 05.10 999 1019.9  07.2 999.0 999.0 99.0
85 09 18 01 355 06.2 08.0 00.80 09.10 05.20 999 1019.3  07.2 999.0 999.0 99.0
85 09 18 02 338 07.0 08.5 00.80 08.30 04.70 999 1018.2  07.1 999.0 999.0 99.0
85 09 18 03 356 07.0 08.7 00.80 08.30 04.50 999 1017.8  07.3 999.0 999.0 99.0
85 09 18 04 000 07.0 08.5 00.80 03.70 04.50 999 1017.0  07.1 999.0 999.0 99.0
85 09 18 05 010 07.0 09.1 00.80 04.00 04.40 999 1016.4  07.2 999.0 999.0 99.0
85 09 18 06 012 06.7 08.7 00.90 04.20 04.40 999 1016.4  07.1 999.0 999.0 99.0
85 09 18 07 000 05.8 07.4 00.80 04.00 04.40 999 1016.2  07.2 999.0 999.0 99.0
85 09 18 10 035 05.4 07.1 00.90 04.00 04.30 999 1016.2  07.5 999.0 999.0 99.0
85 09 18 11 032 03.9 05.5 00.90 04.80 04.50 999 1016.3  07.5 999.0 999.0 99.0
85 09 18 12 003 04.8 06.5 01.20 06.30 05.10 999 1016.2  07.6 999.0 999.0 99.0
